name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Augur of Autumn",3,"Creature - Human Druid",G,"mid","168",rare,Green,Owned,Non-foil,false,,,"UG Ramp Control;RG Midrange;Card Advantage;Bomb","",93318
"Kami of Whispered Hopes",3,"Creature - Spirit",G,"mom","196",uncommon,Green,Owned,,false,,,"","",110276
"Lovestruck Beast",3,"Creature - Beast Noble",G,"eld","165",rare,Green,Owned,Non-foil,false,,,"WG Tokens;RG Midrange;Card Advantage;Bomb","",78468
"Mossborn Hydra",3,"Creature - Elemental Hydra",G,"fdn","107",rare,Green,Owned,,false,,,"","",133782
"Oran-Rief Ooze",3,"Creature - Ooze",G,"znr","198",rare,Green,Owned,,false,,,"","",83385
"Tireless Provisioner",3,"Creature - Elf Scout",G,"plst","MH2-180",uncommon,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange","",
"Tireless Tracker",3,"Creature - Human Scout",G,"plst","SOI-233",rare,Green,Owned,Non-foil,false,,,"UG Ramp Control;RG Midrange;BG Control;Card Advantage;Bomb","",
"Forgotten Ancient",4,"Creature - Elemental",G,"scg","120",rare,Green,Owned,,false,,,"","",18806
"Goreclaw, Terror of Qal Sisma",4,"Legendary Creature - Bear",G,"m19","186",rare,Green,Owned,,false,,,"RG Midrange","",68533
"Nightpack Ambusher",4,"Creature - Wolf",G,"j22","696",rare,Green,Owned,,false,,,"","",
"Territorial Allosaurus",4,"Creature - Dinosaur",G,"dom","184",rare,Green,Owned,,false,,,"","",67833
"Biogenic Ooze",5,"Creature - Ooze",G,"rna","122",mythic,Green,Owned,,false,,,"","",71244
"Blossoming Bogbeast",5,"Creature - Beast",G,"c21","59",rare,Green,Owned,Non-foil,false,,,"WG Tokens;BG Lifegain;RG Midrange","",89861
"Elder Gargaroth",5,"Creature - Beast",G,"drc","111",mythic,Green,Owned,,false,,,"","",137399
"Froghemoth",5,"Creature - Frog Horror",G,"afr","184",rare,Green,Owned,,false,,,"","",91870
"Verdurous Gearhulk",5,"Artifact Creature - Construct",G,"kld","172",mythic,Green,Owned,,false,,,"","",62017
"Carnage Tyrant",6,"Creature - Dinosaur",G,"xln","179",mythic,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange;Bomb","",65376
"Kogla, the Titan Ape",6,"Legendary Creature - Ape",G,"iko","162",rare,Green,Owned,,false,,,"UG Ramp Control;BG Control;RG Midrange;Removal","",80333
"Ochre Jelly",9,"Creature - Ooze",G,"afr","196",rare,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange","",91894
"Sproutback Trudge",9,"Creature - Fungus Beast",G,"c21","68",rare,Green,Owned,Non-foil,false,,,"BG Lifegain","",89879
"Snakeskin Veil",1,"Instant",G,"sta","57",uncommon,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange;Protection","",89171
"Tail Swipe",1,"Instant",G,"dmu","182",uncommon,Green,Owned,,false,,,"","",102840
"Bite Down",2,"Instant",G,"dmu","155",common,Green,Owned,,false,,,"","",102786
"Inscription of Abundance",2,"Instant",G,"znr","186",rare,Green,Owned,,false,,,"","",83357
"Harrow",3,"Instant",G,"tdc","258",common,Green,Owned,,false,,,"","",138453
"Roiling Regrowth",3,"Instant",G,"znr","201",uncommon,Green,Owned,,false,,,"","",83391
"Bushwhack",1,"Sorcery",G,"j25","641",uncommon,Green,Owned,,false,,,"","",
"Devouring Tendrils",2,"Sorcery",G,"stx","126",uncommon,Green,Owned,Non-foil,false,,,"UG Ramp Control;RG Midrange;BG Lifegain;Removal","",88729
"Overwhelming Stampede",5,"Sorcery",G,"m11","189",rare,Green,Owned,,false,,,"WG Tokens;RG Midrange","",37360
"Ozolith, the Shattered Spire",2,"Legendary Artifact",G,"mom","198",rare,Green,Owned,,false,,,"","",110280
"Bow of Nylea",3,"Legendary Enchantment Artifact",G,"ths","153",rare,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;Removal","",50412
"Hardened Scales",1,"Enchantment",G,"ktk","133",rare,Green,Owned,,false,,,"","",54406
"Utopia Sprawl",1,"Enchantment - Aura",G,"rvr","159",uncommon,Green,Owned,,false,,,"UG Ramp Control","",120845
"Ranger Class",2,"Enchantment - Class",G,"afr","202",rare,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange;Bomb","",91906
"Trudge Garden",3,"Enchantment",G,"c21","69",rare,Green,Owned,Non-foil,false,,,"BG Lifegain","",89881
"Wilderness Reclamation",4,"Enchantment",G,"dsc","205",uncommon,Green,Owned,,false,,,"","",131035
"Stonecoil Serpent",0,"Artifact Creature - Snake",,"eld","235",rare,Colorless,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange","",78616
"Gingerbrute",1,"Artifact Creature - Food Golem",,"woe","246",common,Colorless,Owned,Non-foil,false,,,"WR Aggro;UB Ninjas;BR Aggro;BG Lifegain","",116880
"Inquisitive Puppet",1,"Artifact Creature - Construct",,"eld","223",uncommon,Colorless,Owned,Non-foil,false,,,"UR Spellslinger;UG Ramp Control;BG Control","",78592
"Iron Apprentice",1,"Artifact Creature - Construct",,"neo","248",common,Colorless,Owned,,false,,,"","",97446
"Metallic Mimic",2,"Artifact Creature - Shapeshifter",,"inr","268",rare,Colorless,Owned,,false,,,"","",135972
"Perilous Myr",2,"Artifact Creature - Phyrexian Myr",,"a25","227",uncommon,Colorless,Owned,Non-foil,false,,,"UG Ramp Control;UR Spellslinger;BG Control","",67368
"Adaptive Automaton",3,"Artifact Creature - Construct",,"m12","201",rare,Colorless,Owned,,false,,,"WB Knights","",41577
"Circuit Mender",3,"Artifact Creature - Insect",,"neo","242",uncommon,Colorless,Owned,,false,,,"UR Spellslinger;UG Ramp Control;BG Control;BG Lifegain","",97434
"Foundry Inspector",3,"Artifact Creature - Construct",,"kld","215",uncommon,Colorless,Owned,,false,,,"WR Voltron","",62095
"Liberator, Urza's Battlethopter",3,"Legendary Artifact Creature - Thopter",,"bro","237",rare,Colorless,Owned,,false,,,"","",105098
"Shambling Suit",3,"Artifact Creature - Construct",,"eld","230",uncommon,Colorless,Owned,Non-foil,false,,,"WR Voltron","",78606
"Solemn Simulacrum",4,"Artifact Creature - Golem",,"cmm","973",rare,Colorless,Owned,Non-foil,false,,,"UG Ramp Control;UR Spellslinger;BG Control","",114287
"Bone Saw",0,"Artifact - Equipment",,"con","135",common,Colorless,Owned,,false,,,"WR Voltron","",31933
"Bloodforged Battle-Axe",1,"Artifact - Equipment",,"c17","50",rare,Colorless,Owned,,false,,,"WR Voltron","",73872
"Bonesplitter",1,"Artifact - Equipment",,"mrd","146",common,Colorless,Owned,,false,,,"WR Voltron","",19829
"Eater of Virtue",1,"Legendary Artifact - Equipment",,"neo","245",rare,Colorless,Owned,,false,,,"","",97440
"Flayer Husk",1,"Artifact - Equipment",,"mbs","107",common,Colorless,Owned,,false,,,"WR Voltron","",39583
"Hunter's Blowgun",1,"Artifact - Equipment",,"lci","255",common,Colorless,Owned,,false,,,"","",118350
"Infiltration Lens",1,"Artifact - Equipment",,"som","167",uncommon,Colorless,Owned,Non-foil,false,,,"Card Advantage","",38135
"Witch's Oven",1,"Artifact",,"eld","237",uncommon,Colorless,Owned,Non-foil,false,,,"BG Lifegain","",78620
"Ebony Fly",2,"Artifact",,"afc","60",uncommon,Colorless,Owned,Non-foil,false,,,"UG Ramp Control;UR Spellslinger;BG Control","",
"Mind Stone",2,"Artifact",,"c18","210",common,Colorless,Owned,,false,,,"UR Spellslinger;UG Ramp Control;BG Control","",
"Nim Deathmantle",2,"Artifact - Equipment",,"som","188",rare,Colorless,Owned,,false,,,"Bomb","",38285
"Swiftfoot Boots",2,"Artifact - Equipment",,"m12","219",uncommon,Colorless,Owned,,false,,,"","",41445
"Grafted Wargear",3,"Artifact - Equipment",,"5dn","126",uncommon,Colorless,Owned,,false,,,"","",20754
"Loxodon Warhammer",3,"Artifact - Equipment",,"c21","249",rare,Colorless,Owned,,false,,,"WR Voltron;BG Lifegain","",89603
"Nettlecyst",3,"Artifact - Equipment",,"mh2","231",rare,Colorless,Owned,,false,,,"WR Voltron","",90843
"Sword of Vengeance",3,"Artifact - Equipment",,"m11","216",rare,Colorless,Owned,,false,,,"WR Voltron","",37430
"Well of Lost Dreams",4,"Artifact",,"plst","DST-159",rare,Colorless,Owned,,false,,,"","",
"Batterskull",5,"Artifact - Equipment",,"nph","130",mythic,Colorless,Owned,,false,,,"Bomb","",39974
"Drogskol Captain",3,"Creature - Spirit Soldier",UW,"voc","154",uncommon,Multicolored,Owned,,false,,,"","",95082
"Empyrean Eagle",3,"Creature - Bird Spirit",UW,"m20","208",uncommon,Multicolored,Owned,,false,,,"WU Fliers ","",73315
"Spell Queller",3,"Creature - Spirit",UW,"emn","189",rare,Multicolored,Owned,,false,,,"","",61480
"Millicent, Restless Revenant",7,"Legendary Creature - Spirit Soldier",UW,"voc","1",mythic,Multicolored,Owned,,false,,,"","",95224
"Baleful Strix",2,"Artifact Creature - Bird",BU,"pc2","82",uncommon,Multicolored,Owned,,false,,,"UB Ninjas","",45066
"Silver-Fur Master",2,"Creature - Rat Ninja",BU,"neo","236",uncommon,Multicolored,Owned,,false,,,"UB Ninjas","",97422
"Ingenious Infiltrator",4,"Creature - Vedalken Ninja",BU,"mh1","204",uncommon,Multicolored,Owned,,false,,,"UB Ninjas;Card Advantage","",72780
"Fallen Shinobi",5,"Creature - Zombie Ninja",BU,"mh1","199",rare,Multicolored,Owned,,false,,,"UB Ninjas;Bomb","",72770
"Judith, the Scourge Diva",3,"Legendary Creature - Human Shaman",BR,"rna","185",rare,Multicolored,Owned,,false,,,"BR Aggro","",71370
"Lagomos, Hand of Hatred",3,"Legendary Creature - Human Shaman",BR,"dmu","304",uncommon,Multicolored,Owned,,false,,,"BR Aggro","",
"The Infamous Cruelclaw",3,"Legendary Creature - Weasel Mercenary",BR,"blb","219",mythic,Multicolored,Owned,,false,,,"","",129683
"Goblin Anarchomancer",2,"Creature - Goblin Shaman",GR,"mh2","200",common,Multicolored,Owned,Non-foil,false,,,"RG Midrange;Bomb","",90777
"Xenagos, God of Revels",5,"Legendary Enchantment Creature - God",GR,"bng","156",mythic,Multicolored,Owned,,false,,,"","",51745
"Ruric Thar, the Unbowed",6,"Legendary Creature - Ogre Warrior",GR,"dgm","99",rare,Multicolored,Owned,,false,,,"","",48222
"Botanical Brawler",2,"Creature - Elemental Warrior",GW,"mom","220",uncommon,Multicolored,Owned,,false,,,"","",110328
"Conclave Mentor",2,"Creature - Centaur Cleric",GW,"m21","216",uncommon,Multicolored,Owned,,false,,,"","",81659
"Dromoka's Command",2,"Instant",GW,"dtk","221",rare,Multicolored,Owned,,false,,,"","",56182
"Kutzil, Malamet Exemplar",3,"Legendary Creature - Cat Warrior",GW,"lci","232",uncommon,Multicolored,Owned,,false,,,"","",118302
"Corpse Knight",2,"Creature - Zombie Knight",BW,"m20","206",uncommon,Multicolored,Owned,Non-foil,false,,,"WB Knights","",73311
"Wintermoor Commander",2,"Creature - Human Knight",BW,"eld","205",uncommon,Multicolored,Owned,Non-foil,false,,,"WB Knights","",78554
"Anguished Unmaking",3,"Instant",BW,"soi","242",rare,Multicolored,Owned,,false,,,"","",60088
"Balmor, Battlemage Captain",2,"Legendary Creature - Bird Wizard",RU,"dmu","295",uncommon,Multicolored,Owned,,false,,,"UR Spellslinger","",
"Expressive Iteration",2,"Sorcery",RU,"stx","186",uncommon,Multicolored,Owned,,false,,,"UR Spellslinger","",88879
"Goblin Electromancer",2,"Creature - Goblin Wizard",RU,"grn","174",common,Multicolored,Owned,Non-foil,false,,,"UR Spellslinger","",69721
"Third Path Iconoclast",2,"Creature - Human Monk",RU,"bro","223",uncommon,Multicolored,Owned,,false,,,"","",105068
"Greta, Sweettooth Scourge",3,"Legendary Creature - Human Warrior",BG,"woe","205",uncommon,Multicolored,Owned,,false,,,"","",116754
"Gyome, Master Chef",4,"Legendary Creature - Troll Warlock",BG,"c21","5",mythic,Multicolored,Owned,Non-foil,false,,,"BG Lifegain","",89253
"Mortality Spear",4,"Instant",BG,"stx","207",uncommon,Multicolored,Owned,,false,,,"BG Lifegain;BG Control","",88921
"Blade Historian",4,"Creature - Human Cleric",RW,"stx","165",rare,Multicolored,Owned,Non-foil,false,,,"WR Voltron;WR Aggro","",88837
"Bruenor Battlehammer",4,"Legendary Creature - Dwarf Warrior",RW,"afr","219",uncommon,Multicolored,Owned,,false,,,"WR Voltron","",91940
"Adult Gold Dragon",5,"Creature - Dragon",WR,"afr","216",rare,Multicolored,Owned,Non-foil,false,,,"WR Voltron;WR Aggro","",91934
"Nahiri, Forged in Fury",6,"Legendary Creature - Kor Artificer",RW,"mat","36",mythic,Multicolored,Owned,,false,,,"","",109194
"Growth Spiral",2,"Instant",GU,"dsc","88",common,Multicolored,Owned,,false,,,"","",131321
"Uro, Titan of Nature's Wrath",3,"Legendary Creature - Elder Giant",GU,"mb2","93",mythic,Multicolored,Owned,,false,,,"","",134078
"Koma, Cosmos Serpent",7,"Legendary Creature - Serpent",GU,"sld","1765",mythic,Multicolored,Owned,,false,,,"","",
"Adarkar Wastes",0,"Land",,"ice","351",rare,Lands,Owned,,false,,,"","",
"Hengegate Pathway // Mistgate Pathway",0,"Land",UW,"khm","260",rare,Lands,Owned,Non-foil,false,,,"","",87869
"Port Town",0,"Land",,"soi","278",rare,Lands,Owned,,false,,,"","",59926
"Drowned Catacomb",0,"Land",,"m10","224",rare,Lands,Owned,,false,,,"","",32837
"Sunken Hollow",0,"Land - Island Swamp",,"bfz","249",rare,Lands,Owned,,false,,,"","",58659
"Watery Grave",0,"Land - Island Swamp",,"rvr","291",rare,Lands,Owned,,false,,,"","",121149
"Blightstep Pathway // Searstep Pathway",0,"Land",BR,"khm","252",rare,Lands,Owned,Non-foil,false,,,"","",87849
"Dragonskull Summit",0,"Land",,"m10","223",rare,Lands,Owned,,false,,,"","",32863
"Graven Cairns",0,"Land",,"fut","175",rare,Lands,Owned,,false,,,"","",26702
"Cinder Glade",0,"Land - Mountain Forest",GR,"c20","263",rare,Lands,Owned,Non-foil,false,,,"","",
"Karplusan Forest",0,"Land",,"dmu","250",rare,Lands,Owned,,false,,,"","",102976
"Thornspire Verge",0,"Land",,"dsk","270",rare,Lands,Owned,,false,,,"","",130671
"Canopy Vista",0,"Land - Forest Plains",,"bfz","234",rare,Lands,Owned,,false,,,"","",58671
"Hushwood Verge",0,"Land",,"dsk","261",rare,Lands,Owned,,false,,,"","",130653
"Overgrown Farmland",0,"Land",,"mid","265",rare,Lands,Owned,,false,,,"","",93542
"Fetid Heath",0,"Land",,"eve","176",rare,Lands,Owned,,false,,,"","",30114
"Isolated Chapel",0,"Land",,"isd","242",rare,Lands,Owned,,false,,,"","",42652
"Shineshadow Snarl",0,"Land",,"stx","272",rare,Lands,Owned,,false,,,"","",89051
"Cascade Bluffs",0,"Land",,"tdc","345",rare,Lands,Owned,,false,,,"","",138631
"Shivan Reef",0,"Land",,"apc","142",rare,Lands,Owned,,false,,,"","",16260
"Spirebluff Canal",0,"Land",,"otj","270",rare,Lands,Owned,,false,,,"","",124453
"Darkbore Pathway // Slitherbore Pathway",0,"Land",BG,"khm","292",rare,Lands,Owned,Non-foil,false,,,"","",
"Deathcap Glade",0,"Land",,"vow","261",rare,Lands,Owned,,false,,,"","",94902
"Woodland Cemetery",0,"Land",,"isd","249",rare,Lands,Owned,,false,,,"","",42660
"Furycalm Snarl",0,"Land",RW,"stx","266",rare,Lands,Owned,Non-foil,false,,,"","",89039
"Needleverge Pathway // Pillarverge Pathway",0,"Land",RW,"znr","263",rare,Lands,Owned,Non-foil,false,,,"","",83529
"Rugged Prairie",0,"Land",,"eve","178",rare,Lands,Owned,,false,,,"","",30098
"Dreamroot Cascade",0,"Land",,"vow","262",rare,Lands,Owned,,false,,,"","",94904
"Overflowing Basin",0,"Land",,"drc","165",rare,Lands,Owned,,false,,,"","",137507
"Yavimaya Coast",0,"Land",,"apc","143",rare,Lands,Owned,,false,,,"","",16322
"Castle Locthwain",0,"Land",B,"clb","884",rare,Lands,Owned,Non-foil,false,,,"","",
"Crawling Barrens",0,"Land",,"znr","262",rare,Lands,Owned,Non-foil,false,,,"","",83527
"Den of the Bugbear",0,"Land",R,"afr","254",rare,Lands,Owned,Non-foil,false,,,"","",92010
"Eiganjo, Seat of the Empire",0,"Legendary Land",,"neo","268",rare,Lands,Owned,,false,,,"","",97486
"Evolving Wilds",0,"Land",,"ddo","58",common,Lands,Owned,Non-foil,false,,,"","",
"Fabled Passage",0,"Land",,"eld","244",rare,Lands,Owned,Non-foil,false,,,"","",78634
"Halimar Depths",0,"Land",,"wwk","137",common,Lands,Owned,,false,,,"","",35521
"Lair of the Hydra",0,"Land",,"afr","259",rare,Lands,Owned,,false,,,"","",92020
"Unclaimed Territory",0,"Land",,"xln","258",uncommon,Lands,Owned,,false,,,"","",65546
"Underdark Rift",0,"Land",,"afc","62",uncommon,Lands,Owned,Non-foil,false,,,"","",92602
"Ingenious Infiltrator",4,"Creature - Vedalken Ninja",BU,"mh1","204",uncommon,Multicolored,Owned,,true,,,"","",72780
